split,label,temporal_consistency,inter_region_agreement,signal_stability,amplitude_reliability,rhythm_quality,sync_behavior,frame_quality_score,roi_stability,temporal_coverage_ratio
train,0,0.050086,0.430648,0.279916,0.615883,0.491120,0.149999,0.297685,0.513611,0.429094
train,1,0.610080,0.476346,0.637745,0.538692,0.479086,0.658943,0.568242,0.522204,0.785539
train,0,0.028444,0.205627,0.060714,0.110007,0.114388,0.179035,0.370915,0.508961,0.606644
train,0,0.390703,0.605524,0.352043,0.752268,0.760721,0.466301,0.729907,0.666424,0.174251
train,0,0.628999,0.367526,0.456214,0.595917,0.545727,0.485893,0.268335,0.525490,0.264099
train,0,0.936309,0.694783,0.777880,0.119490,0.581557,0.789104,0.638497,0.377668,0.437960
train,0,0.765059,0.790708,0.909640,0.810233,0.855274,0.667973,0.122714,0.425417,0.685128
train,0,0.231022,0.262568,0.099378,0.369876,0.126221,0.086490,0.401404,0.567685,0.611575
train,0,0.492033,0.296170,0.173568,0.000000,0.452661,0.182484,0.526568,0.407213,0.712066
train,1,0.709152,0.681708,0.666560,0.638781,0.723755,0.649672,0.886737,0.864877,0.504840
train,0,0.590728,0.840151,0.333328,0.341319,0.502007,0.298681,0.875955,0.442437,0.637271
train,0,0.281735,0.324110,0.478197,0.495592,0.563642,0.407986,0.743552,0.328509,0.294996
train,1,0.538069,0.622641,0.504075,0.495669,0.517909,0.621309,0.805783,0.486501,0.798392
train,0,0.703916,0.211035,0.229888,0.405859,0.463906,0.425596,0.040575,0.733405,0.772849
train,0,0.000000,0.019083,0.044023,0.000000,0.193627,0.000474,0.420838,0.366148,0.257907
train,1,0.737805,0.782218,0.736459,0.811113,0.645095,0.734843,0.294252,0.327147,0.926586
train,1,0.424665,0.609823,0.530451,0.484203,0.453321,0.478731,0.787617,0.794992,0.630156
train,0,0.136232,0.522105,0.369241,0.352771,0.052624,0.374413,0.425808,0.363079,0.888745
train,0,0.243243,0.030102,0.518443,0.134851,0.000000,0.000000,0.808387,0.284453,0.829375
train,0,0.475750,0.467132,0.754817,0.381583,0.497543,0.458824,0.487956,0.876222,0.328586
train,0,0.650844,0.730839,0.564480,0.536797,0.631646,0.513170,0.445946,0.598619,0.587504
train,0,0.000000,0.000000,0.074694,0.082082,0.000000,0.000000,0.112426,0.334548,0.437455
train,1,0.847687,0.856200,0.943051,0.859595,0.870955,0.994126,0.678864,0.363033,0.718440
train,0,0.339968,0.440375,0.459759,0.282458,0.403010,0.201943,0.478783,0.735971,0.500108
train,0,0.262778,0.203792,0.192751,0.281401,0.000000,0.015447,0.756129,0.490882,0.339042
train,1,0.364447,0.439197,0.448691,0.371951,0.422825,0.435167,0.831554,0.786262,0.752013
train,0,0.000000,0.266778,0.191411,0.135826,0.240300,0.239860,0.562546,0.461743,0.324745
train,1,0.810659,0.761743,0.775404,0.723660,0.718927,0.816716,0.759133,0.690313,0.779617
train,1,0.906340,0.938540,1.000000,1.000000,0.897873,0.931473,0.759998,0.891940,0.534738
train,1,0.557595,0.549294,0.491339,0.539737,0.594800,0.654783,0.716837,0.821033,0.766460
train,1,0.947779,0.935559,1.000000,0.892127,0.904866,0.997149,0.756705,0.777772,0.911752
train,0,0.437577,0.507456,0.572869,0.417988,0.297832,0.350419,0.267372,0.274006,0.346820
train,0,0.319742,0.121454,0.369486,0.227440,0.183046,0.133271,0.439941,0.556426,0.681579
train,1,0.642163,0.853048,0.984297,0.739575,0.815595,0.829603,0.645492,0.402721,0.849809
train,0,0.425653,0.487523,0.179730,0.183277,0.155703,0.346297,0.393290,0.565005,0.602657
train,0,0.244063,0.324561,0.565668,0.532117,0.215140,0.362145,0.219743,0.518623,0.120419
train,1,0.554770,0.484207,0.536571,0.590950,0.644365,0.528268,0.732871,0.532062,0.248483
train,0,0.000000,0.309161,0.000000,0.287898,0.045830,0.201024,0.719003,0.469636,0.346596
train,0,0.285352,0.416642,0.152849,0.039939,0.008423,0.335166,0.567175,0.505870,0.271453
train,1,0.419619,0.445571,0.554873,0.456614,0.507762,0.418840,0.779192,0.834762,0.798531
train,0,0.219668,0.122233,0.136638,0.000000,0.189977,0.337741,0.350581,0.538535,0.237610
train,0,0.412913,0.285536,0.000000,0.413902,0.338672,0.160525,0.432442,0.143569,0.436473
train,1,0.795022,0.809330,0.725520,0.810884,0.735196,0.679425,0.850099,0.949260,0.690510
train,0,0.458684,0.723166,0.788933,0.385380,0.036216,0.670697,0.509184,0.472812,0.354918
train,1,0.815574,0.790976,0.769098,0.939601,0.804517,0.940021,0.841624,0.656440,0.704308
train,1,0.687314,0.610914,0.650823,0.800143,0.729134,0.626635,0.329316,0.792103,0.719542
train,0,0.388861,0.430906,0.446018,0.221177,0.214480,0.484953,0.280058,0.535734,0.667154
train,1,0.781622,0.735594,0.713996,0.884951,0.817842,0.806966,0.626752,0.977977,0.600155
train,1,0.635174,0.737179,0.688334,0.686668,0.626162,0.663488,0.804429,0.831744,0.704484
train,0,0.440365,0.506622,0.210480,0.365851,0.241730,0.535511,0.175307,0.210458,0.622017
train,1,0.930415,0.985139,0.865654,0.914361,0.852127,0.886176,0.907392,0.360924,0.603219
train,1,0.470832,0.671931,0.594721,0.476452,0.536492,0.625633,0.516148,0.622320,0.765994
